ClkCycle:          6, pc_rdata: 00000000, pc_wdata: 00000004, insn: f14022f3, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 20, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          7, pc_rdata: 00000004, pc_wdata: 00000006, insn: 00004301, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  6, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          8, pc_rdata: 00000006, pc_wdata: 00000006, insn: 00004301, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          9, pc_rdata: 00000006, pc_wdata: 00000008, insn: 00628263, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         10, pc_rdata: 00000008, pc_wdata: 0000000c, insn: 00628263, mode: 3, rs1_addr:  5, rs1_rdata: 00000000, rs2_addr:  6, rs2_rdata: 00000000, rd_addr:  4, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         11, pc_rdata: 0000000c, pc_wdata: 0000000c, insn: 00000e97, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         12, pc_rdata: 0000000c, pc_wdata: 00000010, insn: 00000e97, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 29, rd_wdata: 0000000c, mem_addr: 0000000c, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         13, pc_rdata: 00000010, pc_wdata: 00000014, insn: 00ce8e93, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr: 12, rs2_rdata: 00000000, rd_addr: 29, rd_wdata: 00000018, mem_addr: 00000018, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         14, pc_rdata: 00000014, pc_wdata: 00000018, insn: 000e8067, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000018, mem_addr: 00000018, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         15, pc_rdata: 00000018, pc_wdata: 00000000, insn: 40001fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         16, pc_rdata: 00000000, pc_wdata: 00000004, insn: f14022f3, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 20, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
